doc_type_name	date	description	source_url_si	source_url_ta	source_url_en	doc_num	id	dir_data
extra-gazettes	2025-07-03	Presidential Secretariat - Removal from BMICH Management Membership	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-56_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-56_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-56_E.pdf	2443/56	2443-56	data/extra-gazettes/2025/2443-56
extra-gazettes	2025-07-03	Election Commission - Parliamentary Elections Act. No 01 of 1981 Filling of a Vacancy under Section 64 (5)	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-50_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-50_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-50_E.pdf	2443/50	2443-50	data/extra-gazettes/2025/2443-50
extra-gazettes	2025-07-01	Inland Revenue Department Value Added Tax Act, No. 14 of 2022 Procedure for Collecting and paying VAT	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-30_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-30_E.pdf	2443/30	2443-30	data/extra-gazettes/2025/2443-30
extra-gazettes	2025-07-01	Dept. of Local Government Western Province - Notification Made under Section 66 (1) Recall of first Meeting of 04 Local Government Institutions	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-28_S.pdf	None	None	2443/28	2443-28	data/extra-gazettes/2025/2443-28
extra-gazettes	2025-07-01	Dept of Local Government N W P - Appointed Chairman and Vice Chairman for 03 Local Government Institutions	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-21_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-21_E.pdf	2443/21	2443-21	data/extra-gazettes/2025/2443-21
extra-gazettes	2025-06-30	2443/15	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-15_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-15_E.pdf	2443/15	2443-15	data/extra-gazettes/2025/2443-15
extra-gazettes	2025-06-30	"National Physical Planning Department - The Town and Country Planning Ordinance (Chapter 269) Declare that the Land called ""Sankapitti Purana Vihara area as an Urban Development Area"	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-10_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-10_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-10_E.pdf	2443/10	2443-10	data/extra-gazettes/2025/2443-10
extra-gazettes	2025-06-30	Ministry of Health - Food Act, No.26 of 1980 Amended the Food (Iodization of Salt) Regulation 2023.	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-09_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-09_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-09_E.pdf	2443/09	2443-09	data/extra-gazettes/2025/2443-09
extra-gazettes	2025-06-30	Ministry of Health - Food Act, No.26 of 1980 Amended the Food (Colour Coding for Suger Levels liquid) Regulation 2022.	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-08_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-08_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-08_E.pdf	2443/08	2443-08	data/extra-gazettes/2025/2443-08
extra-gazettes	2025-06-30	Ministry of Health - Food Act, No.26 of 1980 Amended the Food (Frans - Fat) Regulation 2022.	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-07_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-07_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-07_E.pdf	2443/07	2443-07	data/extra-gazettes/2025/2443-07
extra-gazettes	2025-06-30	Ministry of Health - Food Act, No.26 of 1980 Amended the Food (labelling and Advertising) Regulations 2023.	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-06_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-06_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-06_E.pdf	2443/06	2443-06	data/extra-gazettes/2025/2443-06
extra-gazettes	2025-06-30	Sri Lanka Customs - Rate Of Exchange with Effect from 30.06.2025 to 06.07.2025	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-01_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-01_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2443-01_E.pdf	2443/01	2443-01	data/extra-gazettes/2025/2443-01
extra-gazettes	2025-06-28	Dept. of Local Government - Eastern Province - Notice under section 66 (c) Appointed Vice Chairman Kantale Pradeshiya Sabha	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-79_S.pdf	None	None	2442/79	2442-79	data/extra-gazettes/2025/2442-79
extra-gazettes	2025-06-27	Presidential Secretariat - Call out All the Members of the Armed Forces with effect from 27th June, 2025	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-62_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-62_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-62_E.pdf	2442/62	2442-62	data/extra-gazettes/2025/2442-62
extra-gazettes	2025-06-27	Department of The Local Government N.C.P - Appointed Chairman and Vice Chairman for the Anuradgapura Local Authorities 2025	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-61_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-61_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-61_E.pdf	2442/61	2442-61	data/extra-gazettes/2025/2442-61
extra-gazettes	2025-06-27	Election Commission - Local Autherities Elections- 2025 Notice Under Section 66 (2) Elected to members of 36 Local Governments Institutions	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-60_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-60_E.pdf	2442/60	2442-60	data/extra-gazettes/2025/2442-60
extra-gazettes	2025-06-27	Dept. of Local Government - Western Province Appointed Mayor, Deputy Mayor  Chairman and Vice Chairman for Local Government Institutions	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-57_S.pdf	None	None	2442/57	2442-57	data/extra-gazettes/2025/2442-57
gazettes	2025-06-27	List of Jurors	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(VI)S.pdf	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(VI)T.pdf	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(VI)E.pdf	2025-06-27-list-of-jurors	2025-06-27-list-of-jurors	data/gazettes/2025/2025-06-27-list-of-jurors
