doc_type_name	doc_id	year	lang_code
gazettes	2025-05-16-i-general	2025	en
gazettes	2025-03-14-legal-section	2025	si
gazettes	2025-03-14-legal-section	2025	ta
gazettes	2025-03-14-legal-section	2025	en
gazettes	2025-03-07-land-section	2025	si
gazettes	2025-03-07-land-section	2025	ta
gazettes	2025-03-07-land-section	2025	en
gazettes	2025-04-11-iib-advertising	2025	si
gazettes	2025-04-11-iib-advertising	2025	ta
gazettes	2025-04-11-iib-advertising	2025	en
gazettes	2025-04-18-legal-section	2025	si
gazettes	2025-04-18-legal-section	2025	ta
gazettes	2025-04-18-legal-section	2025	en
gazettes	2025-05-09-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-05-09-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-05-09-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-05-02-iv-a-provincial-councils	2025	si
gazettes	2025-05-02-iv-a-provincial-councils	2025	ta
gazettes	2025-06-27-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-06-27-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-06-27-iia-advertising	2025	si
gazettes	2025-06-27-iia-advertising	2025	ta
gazettes	2025-06-27-iia-advertising	2025	en
gazettes	2025-06-27-iv-a-provincial-councils	2025	si
gazettes	2025-06-27-iv-a-provincial-councils	2025	en
gazettes	2025-04-11-i-general	2025	si
gazettes	2025-04-11-i-general	2025	ta
gazettes	2025-04-11-i-general	2025	en
gazettes	2025-04-25-iib-advertising	2025	si
gazettes	2025-04-25-iib-advertising	2025	ta
gazettes	2025-04-25-iib-advertising	2025	en
gazettes	2025-07-04-iia-advertising	2025	si
gazettes	2025-07-04-iia-advertising	2025	en
gazettes	2025-05-23-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-05-23-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-05-23-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-06-06-i-general	2025	si
gazettes	2025-06-06-i-general	2025	ta
gazettes	2025-06-06-i-general	2025	en
gazettes	2025-02-14-iia-advertising	2025	si
gazettes	2025-02-14-iia-advertising	2025	ta
gazettes	2025-02-14-iia-advertising	2025	en
gazettes	2025-06-06-land-section	2025	si
gazettes	2025-05-30-legal-section	2025	si
gazettes	2025-05-30-legal-section	2025	ta
gazettes	2025-05-30-legal-section	2025	en
gazettes	2025-03-07-iv-b-local-government	2025	si
gazettes	2025-03-07-iv-b-local-government	2025	ta
gazettes	2025-03-07-iv-b-local-government	2025	en
gazettes	2025-02-28-iv-b-local-government	2025	si
gazettes	2025-02-28-iv-b-local-government	2025	ta
gazettes	2025-02-28-iv-b-local-government	2025	en
gazettes	2025-07-04-i-general	2025	si
gazettes	2025-03-14-iv-b-local-government	2025	si
gazettes	2025-03-14-iv-b-local-government	2025	ta
gazettes	2025-03-14-iv-b-local-government	2025	en
gazettes	2025-03-28-iv-b-local-government	2025	si
gazettes	2025-03-28-iv-b-local-government	2025	ta
gazettes	2025-03-28-iv-b-local-government	2025	en
gazettes	2025-06-27-land-section	2025	si
gazettes	2025-06-27-land-section	2025	en
gazettes	2025-02-21-i-general	2025	si
gazettes	2025-02-21-i-general	2025	ta
gazettes	2025-02-21-i-general	2025	en
gazettes	2025-05-16-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-05-16-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-05-16-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-02-07-land-section	2025	si
gazettes	2025-02-07-land-section	2025	ta
gazettes	2025-02-07-land-section	2025	en
gazettes	2025-06-13-iv-a-provincial-councils	2025	si
gazettes	2025-03-21-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-03-21-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-03-21-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-04-11-iv-b-local-government	2025	si
gazettes	2025-04-11-iv-b-local-government	2025	ta
gazettes	2025-04-11-iv-b-local-government	2025	en
gazettes	2025-06-27-iv-b-local-government	2025	si
gazettes	2025-06-27-iv-b-local-government	2025	en
gazettes	2025-02-07-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-02-07-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-02-07-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-05-30-land-section	2025	si
gazettes	2025-05-30-land-section	2025	en
gazettes	2025-06-27-iib-advertising	2025	si
gazettes	2025-06-27-iib-advertising	2025	en
gazettes	2025-06-13-iia-advertising	2025	si
gazettes	2025-06-13-iia-advertising	2025	ta
gazettes	2025-06-13-iia-advertising	2025	en
gazettes	2025-04-04-land-section	2025	si
gazettes	2025-04-04-land-section	2025	ta
gazettes	2025-04-04-land-section	2025	en
gazettes	2025-05-09-iia-advertising	2025	si
gazettes	2025-05-09-iia-advertising	2025	ta
gazettes	2025-05-09-iia-advertising	2025	en
gazettes	2025-02-07-i-general	2025	si
gazettes	2025-02-07-i-general	2025	ta
gazettes	2025-02-07-i-general	2025	en
gazettes	2025-06-06-iv-b-local-government	2025	si
gazettes	2025-06-06-iv-b-local-government	2025	en
gazettes	2025-07-04-land-section	2025	si
gazettes	2025-07-04-land-section	2025	en
gazettes	2025-06-20-iib-advertising	2025	si
gazettes	2025-06-20-iib-advertising	2025	en
gazettes	2025-05-09-legal-section	2025	si
gazettes	2025-05-09-legal-section	2025	en
gazettes	2025-03-14-iia-advertising	2025	si
gazettes	2025-03-14-iia-advertising	2025	ta
gazettes	2025-03-14-iia-advertising	2025	en
gazettes	2025-02-14-iib-advertising	2025	si
gazettes	2025-02-14-iib-advertising	2025	ta
gazettes	2025-02-14-iib-advertising	2025	en
gazettes	2025-04-25-legal-section	2025	si
gazettes	2025-04-18-iv-b-local-government	2025	si
gazettes	2025-04-18-iv-b-local-government	2025	ta
gazettes	2025-04-18-iv-b-local-government	2025	en
gazettes	2025-03-21-iib-advertising	2025	si
gazettes	2025-03-21-iib-advertising	2025	ta
gazettes	2025-03-21-iib-advertising	2025	en
gazettes	2025-05-23-legal-section	2025	si
gazettes	2025-05-23-legal-section	2025	en
gazettes	2025-02-28-legal-section	2025	si
gazettes	2025-02-28-legal-section	2025	ta
gazettes	2025-02-28-legal-section	2025	en
gazettes	2025-04-11-land-section	2025	si
gazettes	2025-04-11-land-section	2025	en
gazettes	2025-04-04-iia-advertising	2025	si
gazettes	2025-04-04-iia-advertising	2025	ta
gazettes	2025-04-04-iia-advertising	2025	en
gazettes	2025-04-04-iib-advertising	2025	si
gazettes	2025-04-04-iib-advertising	2025	ta
gazettes	2025-04-04-iib-advertising	2025	en
gazettes	2025-03-14-iib-advertising	2025	si
gazettes	2025-03-14-iib-advertising	2025	ta
gazettes	2025-03-14-iib-advertising	2025	en
gazettes	2025-06-27-list-of-jurors	2025	si
gazettes	2025-06-27-list-of-jurors	2025	ta
gazettes	2025-06-27-list-of-jurors	2025	en
gazettes	2025-04-11-legal-section	2025	si
gazettes	2025-04-11-legal-section	2025	ta
gazettes	2025-04-11-legal-section	2025	en
gazettes	2025-04-25-iv-b-local-government	2025	si
gazettes	2025-04-25-iv-b-local-government	2025	ta
gazettes	2025-04-25-iv-b-local-government	2025	en
gazettes	2025-02-28-i-general	2025	si
gazettes	2025-02-28-i-general	2025	ta
gazettes	2025-02-28-i-general	2025	en
gazettes	2025-05-23-land-section	2025	en
gazettes	2025-02-14-land-section	2025	si
gazettes	2025-02-14-land-section	2025	ta
gazettes	2025-02-14-land-section	2025	en
gazettes	2025-02-07-legal-section	2025	si
gazettes	2025-06-06-iia-advertising	2025	si
gazettes	2025-06-06-iia-advertising	2025	ta
gazettes	2025-06-06-iia-advertising	2025	en
gazettes	2025-02-28-iia-advertising	2025	si
gazettes	2025-02-28-iia-advertising	2025	ta
gazettes	2025-02-28-iia-advertising	2025	en
gazettes	2025-03-07-iia-advertising	2025	si
gazettes	2025-03-07-iia-advertising	2025	en
gazettes	2025-02-07-iib-advertising	2025	si
gazettes	2025-02-07-iib-advertising	2025	ta
gazettes	2025-02-07-iib-advertising	2025	en
gazettes	2025-05-09-i-general	2025	si
gazettes	2025-05-09-i-general	2025	ta
gazettes	2025-05-09-i-general	2025	en
gazettes	2025-05-30-list-of-jurors	2025	si
gazettes	2025-05-30-list-of-jurors	2025	ta
gazettes	2025-05-30-list-of-jurors	2025	en
gazettes	2025-04-11-list-of-jurors	2025	si
gazettes	2025-04-11-list-of-jurors	2025	ta
gazettes	2025-04-11-list-of-jurors	2025	en
extra-gazettes	2422-48	2025	si
extra-gazettes	2422-48	2025	ta
extra-gazettes	2422-48	2025	en
extra-gazettes	2426-38	2025	si
extra-gazettes	2426-38	2025	ta
extra-gazettes	2426-38	2025	en
extra-gazettes	2432-11	2025	si
extra-gazettes	2432-11	2025	en
extra-gazettes	2441-16	2025	si
extra-gazettes	2441-16	2025	ta
extra-gazettes	2441-16	2025	en
extra-gazettes	2423-16	2025	si
extra-gazettes	2423-16	2025	ta
